trade_id,entry_time,symbol,side,quantity,entry_price,exit_price,exit_time,sl,tp,pnl,status
d50ccdfd-7034-464e-8929-bf1dbbad5fae,2022-03-18 00:43:00.000000,BTCUSD,BUY,1,40800.24,,,38760.227999999996,42840.252,,OPEN
e0d65f88-83e3-4f5a-84d6-6d62103c921a,2022-03-18 00:44:00.000000,BTCUSD,BUY,1,40777.51,,,38738.6345,42816.385500000004,,OPEN
6daa91d9-ce80-436b-9ee5-35f9ed4d2fe3,2022-03-18 00:48:00.000000,BTCUSD,BUY,1,40733.35,,,38696.682499999995,42770.0175,,OPEN
81802c71-123d-44ac-ae4a-33bb66bf61a7,2022-03-18 00:53:00.000000,BTCUSD,BUY,1,40652.18,,,38619.570999999996,42684.789000000004,,OPEN
1f82b814-d5ec-4e61-865a-21b9b17e37e2,2022-03-18 00:57:00.000000,BTCUSD,BUY,1,40573.65,,,38544.9675,42602.332500000004,,OPEN
183be424-2890-4e22-aa6f-4b38a151c20c,2022-03-18 00:58:00.000000,BTCUSD,BUY,1,40294.38,,,38279.66099999999,42309.099,,OPEN
22746665-1fa2-4ac7-80e4-2c9a07e76e60,2022-03-18 00:59:00.000000,BTCUSD,BUY,1,40353.71,,,38336.0245,42371.3955,,OPEN
cb978a63-d7f5-46af-ae38-6236d961503d,2022-03-18 01:00:00.000000,BTCUSD,BUY,1,40345.22,,,38327.959,42362.481,,OPEN
d50ccdfd-7034-464e-8929-bf1dbbad5fae,2022-03-18 00:43:00.000000,BTCUSD,BUY,1,40800.24,40624.72,2022-03-18 02:37:00.000000,38760.227999999996,42840.252,-175.5199999999968,CLOSED
e0d65f88-83e3-4f5a-84d6-6d62103c921a,2022-03-18 00:44:00.000000,BTCUSD,BUY,1,40777.51,40649.71,2022-03-18 04:44:00.000000,38738.6345,42816.385500000004,-127.80000000000291,CLOSED
6daa91d9-ce80-436b-9ee5-35f9ed4d2fe3,2022-03-18 00:48:00.000000,BTCUSD,BUY,1,40733.35,40819.71,2022-03-18 05:00:00.000000,38696.682499999995,42770.0175,86.36000000000058,CLOSED
81802c71-123d-44ac-ae4a-33bb66bf61a7,2022-03-18 00:53:00.000000,BTCUSD,BUY,1,40652.18,40770.36,2022-03-18 05:01:00.000000,38619.570999999996,42684.789000000004,118.18000000000029,CLOSED
1f82b814-d5ec-4e61-865a-21b9b17e37e2,2022-03-18 00:57:00.000000,BTCUSD,BUY,1,40573.65,40875.54,2022-03-18 05:05:00.000000,38544.9675,42602.332500000004,301.8899999999994,CLOSED
