Date,Type,Price,Stocks,Capital,Profit
2022-01-01 01:52:00,BUY,46788.66,213,34015.419999999925,-9965984.58
2022-01-06 00:00:00,FINAL_SELL,43429.9,213,9284584.120000001,-715415.879999999
